50,0.00133639,0.000682094
60,0.0246513,0.00137442
70,0.0039304,0.00211871
80,0.000729326,0.00284657
90,0.00097891,0.00642247
100,0.00153594,0.00573512
110,0.00269339,0.00802023
120,0.00406878,0.0107309
130,0.00350558,0.0134915
140,0.0036005,0.0159181
150,0.00915486,0.0186811
160,0.00922346,0.0228178
170,0.00642178,0.0228355
180,0.00838017,0.0263265
190,0.00803017,0.0326631
200,0.0102464,0.0343235
210,0.0119071,0.0473206
220,0.014461,0.0490938
230,0.0166435,0.0517605
240,0.0174605,0.0634083
250,0.0188277,0.0651473
260,0.0426954,0.102688
270,0.0253073,0.081794
280,0.028924,0.0938311
290,0.0295859,0.109796
300,0.0330165,0.112658
310,0.0398668,0.126203
320,0.0406757,0.143964
330,0.04501,0.160111
340,0.0522469,0.167356
350,0.053714,0.204068
360,0.0861804,0.207523
370,0.0644934,0.227972
380,0.0825406,0.3875
390,0.0831122,0.274645
400,0.0844612,0.329469
410,0.0891815,0.345569
420,0.0926112,0.34336
430,0.0998186,0.376441
440,0.142768,0.498165
450,0.116107,0.483326
460,0.137366,0.521478
470,0.147476,0.550076
480,0.157137,0.581814
